matiere;classes;nb_devoirs;coeff;prof_id
ANGLAIS LVB;1A;7;1;9SKAZVd_e50ujms6tkEJP9e_afvdckaaz3GN09KWnlU
ANGLAIS LVB;2A;16;1;9SKAZVd_e50ujms6tkEJP9e_afvdckaaz3GN09KWnlU
ANGLAIS LVB;2B;15;1;9SKAZVd_e50ujms6tkEJP9e_afvdckaaz3GN09KWnlU
ANGLAIS LVB;2C;13;1;X58dVOypPle6RruL80DrCLqnnP28AUXsT9dGfVW02c0
ANGLAIS LVB;3A;1;1;fOibUX-7LfFX_ZjIxwZHwyR4GZll-V3jPEE2rAxoC-8
ANGLAIS LVB;3A;0;1;X58dVOypPle6RruL80DrCLqnnP28AUXsT9dGfVW02c0
ANGLAIS LVB;3B;0;1;X58dVOypPle6RruL80DrCLqnnP28AUXsT9dGfVW02c0
ANGLAIS LVB;3C;3;1;fOibUX-7LfFX_ZjIxwZHwyR4GZll-V3jPEE2rAxoC-8
ANGLAIS LVB;3C;0;1;X58dVOypPle6RruL80DrCLqnnP28AUXsT9dGfVW02c0
ANGLAIS LVB;4A;3;1;fOibUX-7LfFX_ZjIxwZHwyR4GZll-V3jPEE2rAxoC-8
ANGLAIS LVB;4B;3;1;fOibUX-7LfFX_ZjIxwZHwyR4GZll-V3jPEE2rAxoC-8
ANGLAIS LVB;4C;3;1;fOibUX-7LfFX_ZjIxwZHwyR4GZll-V3jPEE2rAxoC-8
ANGLAIS LVB;5A;3;1;fOibUX-7LfFX_ZjIxwZHwyR4GZll-V3jPEE2rAxoC-8
ANGLAIS LVB;5B;0;1;wX9PvYEDr1zaCCpzd7TaabuNDifKRKkMtDkQj78d9AM
ANGLAIS LVB;5C;0;1;wX9PvYEDr1zaCCpzd7TaabuNDifKRKkMtDkQj78d9AM
ANGLAIS LVB;6A;3;1;fOibUX-7LfFX_ZjIxwZHwyR4GZll-V3jPEE2rAxoC-8
ANGLAIS LVB;6B;0;1;wX9PvYEDr1zaCCpzd7TaabuNDifKRKkMtDkQj78d9AM
ANGLAIS LVB;6C;0;1;wX9PvYEDr1zaCCpzd7TaabuNDifKRKkMtDkQj78d9AM
ANGLAIS LVB;Terminale;11;1;9SKAZVd_e50ujms6tkEJP9e_afvdckaaz3GN09KWnlU
