eleve_id;matiere;prof_id;note;coef;date;trimestre
x98XOvwoNyehe5aGZFC4QGm8ZPyM6Sof0LJwXpfNP-c;ANGLAIS LVB;9SKAZVd_e50ujms6tkEJP9e_afvdckaaz3GN09KWnlU;1,00;0,50;2024-01-29;Trimestre 2
Jmb2Zp7OzViHfStfxbPZejJQGwNhalrYDPUL9ackCNk;ANGLAIS LVB;9SKAZVd_e50ujms6tkEJP9e_afvdckaaz3GN09KWnlU;8,50;0,50;2024-01-29;Trimestre 2
g34-PymcwTHigMQA-tcOWM7lTXmazA41KO7I5TfRLS4;ANGLAIS LVB;9SKAZVd_e50ujms6tkEJP9e_afvdckaaz3GN09KWnlU;3,00;0,50;2024-01-29;Trimestre 2
L4QL8ltgetnUp0hCH1kvkkOXLhS4gL5w0theSjYVYc4;ANGLAIS LVB;9SKAZVd_e50ujms6tkEJP9e_afvdckaaz3GN09KWnlU;8,00;0,50;2024-01-29;Trimestre 2
H_euoKbCaEqXVKQ3jtX7_Z9LaA4YN_Tj7-FHjOpAZqY;ANGLAIS LVB;9SKAZVd_e50ujms6tkEJP9e_afvdckaaz3GN09KWnlU;3,00;0,50;2024-01-29;Trimestre 2
M_dfb_cusVE8FUwHIR6wNBQVsTK96E2GDKV6cxHciMI;ANGLAIS LVB;9SKAZVd_e50ujms6tkEJP9e_afvdckaaz3GN09KWnlU;6,50;0,50;2024-01-29;Trimestre 2
DyJf1T4yDLgrUi52e67pJRZ2osLJ06bgQGRyybEHGAw;ANGLAIS LVB;9SKAZVd_e50ujms6tkEJP9e_afvdckaaz3GN09KWnlU;7,00;0,50;2024-01-29;Trimestre 2
iZ7mcjzo2OmLsnUjV581ksgku0_jJR2peEFuZcuTmNI;ANGLAIS LVB;9SKAZVd_e50ujms6tkEJP9e_afvdckaaz3GN09KWnlU;Abs;0,50;2024-01-29;Trimestre 2
0M7YVYNgcnP1fXyEH27kTbI8xI3J_5Y_VDWwdsv78ws;ANGLAIS LVB;9SKAZVd_e50ujms6tkEJP9e_afvdckaaz3GN09KWnlU;10,00;0,50;2024-01-29;Trimestre 2
-apglKHWvlC1l3Iar9i0OLDsJegtfjEoln1nkM9GlQw;ANGLAIS LVB;9SKAZVd_e50ujms6tkEJP9e_afvdckaaz3GN09KWnlU;3,50;0,50;2024-01-29;Trimestre 2
NtxDQ77rDLKF4f-niWAKs5dyTcA6wtOwsSMo1pg1dPY;ANGLAIS LVB;9SKAZVd_e50ujms6tkEJP9e_afvdckaaz3GN09KWnlU;10,00;0,50;2024-01-29;Trimestre 2
wV3IqFJNTAlEDlFBhSn7F3oB2EQT95imwa8q2iaBCWE;ANGLAIS LVB;9SKAZVd_e50ujms6tkEJP9e_afvdckaaz3GN09KWnlU;9,00;0,50;2024-01-29;Trimestre 2
UQebojALlUhQ92lbdwUPUCuwh_Pd1d5DEZ_BNMXpRAA;ANGLAIS LVB;9SKAZVd_e50ujms6tkEJP9e_afvdckaaz3GN09KWnlU;3,50;0,50;2024-01-29;Trimestre 2
E0lT2maisVx8GUK4mXjN8HD8H33cvDRW8YGPAo03lRg;ANGLAIS LVB;9SKAZVd_e50ujms6tkEJP9e_afvdckaaz3GN09KWnlU;2,50;0,50;2024-01-29;Trimestre 2
uepqpa_JsfrYacOUpJ7HPdKTMk3VUmS8sPFJqVUAkBA;ANGLAIS LVB;9SKAZVd_e50ujms6tkEJP9e_afvdckaaz3GN09KWnlU;7,50;0,50;2024-01-29;Trimestre 2
PLfNCUqOUlxw1H1az_cjgV2yoW5Ago62H4WGRzGrx6A;ANGLAIS LVB;9SKAZVd_e50ujms6tkEJP9e_afvdckaaz3GN09KWnlU;4,50;0,50;2024-01-29;Trimestre 2
7jewNDq3sKFX49MMpfHa7SUVf2DWtQbuTSK6_o9kz_c;ANGLAIS LVB;9SKAZVd_e50ujms6tkEJP9e_afvdckaaz3GN09KWnlU;7,00;0,50;2024-01-29;Trimestre 2
