matiere;classe/grpe;moy_eleve;devoir1___note;devoir2___note;devoir3___note;devoir4___note;devoir5___note;devoir6___note;devoir7___note;devoir8___note;devoir9___note;devoir10___note;devoir11___note;devoir12___note;devoir13___note;devoir14___note;devoir15___note;devoir16___note;devoir17___note;devoir18___note;devoir19___note;devoir20___note;devoir21___note;devoir22___note;devoir23___note;devoir24___note;devoir1___coeff;devoir2___coeff;devoir3___coeff;devoir4___coeff;devoir5___coeff;devoir6___coeff;devoir7___coeff;devoir8___coeff;devoir9___coeff;devoir10___coeff;devoir11___coeff;devoir12___coeff;devoir13___coeff;devoir14___coeff;devoir15___coeff;devoir16___coeff;devoir17___coeff;devoir18___coeff;devoir19___coeff;devoir20___coeff;devoir21___coeff;devoir22___coeff;devoir23___coeff;devoir24___coeff;devoir1___date;devoir2___date;devoir3___date;devoir4___date;devoir5___date;devoir6___date;devoir7___date;devoir8___date;devoir9___date;devoir10___date;devoir11___date;devoir12___date;devoir13___date;devoir14___date;devoir15___date;devoir16___date;devoir17___date;devoir18___date;devoir19___date;devoir20___date;devoir21___date;devoir22___date;devoir23___date;devoir24___date;devoir1___periode_notation;devoir2___periode_notation;devoir3___periode_notation;devoir4___periode_notation;devoir5___periode_notation;devoir6___periode_notation;devoir7___periode_notation;devoir8___periode_notation;devoir9___periode_notation;devoir10___periode_notation;devoir11___periode_notation;devoir12___periode_notation;devoir13___periode_notation;devoir14___periode_notation;devoir15___periode_notation;devoir16___periode_notation;devoir17___periode_notation;devoir18___periode_notation;devoir19___periode_notation;devoir20___periode_notation;devoir21___periode_notation;devoir22___periode_notation;devoir23___periode_notation;devoir24___periode_notation;eleve_id;prof_id
ANGLAIS LVB;1A;7,02;1,00;9,00;6,00;2,00;10,00;5,00;7,00;;;;;;;;;;;;;;;;;;0,50;2,00;2,00;0,50;2,00;2,00;2,00;;;;;;;;;;;;;;;;;;29/01/2024;18/02/2024;11/03/2024;15/04/2024;15/05/2024;19/05/2024;19/05/2024;;;;;;;;;;;;;;;;;;Trimestre 2;Trimestre 2;Trimestre 2;Trimestre 3;Trimestre 3;Trimestre 3;Trimestre 3;;;;;;;;;;;;;;;;;;x98XOvwoNyehe5aGZFC4QGm8ZPyM6Sof0LJwXpfNP-c;9SKAZVd_e50ujms6tkEJP9e_afvdckaaz3GN09KWnlU
ANGLAIS LVB;1A;;;;;;;;;;;;;;;;;;;;;;;;;;0,50;2,00;2,00;0,50;2,00;2,00;2,00;;;;;;;;;;;;;;;;;;29/01/2024;18/02/2024;11/03/2024;15/04/2024;15/05/2024;19/05/2024;19/05/2024;;;;;;;;;;;;;;;;;;Trimestre 2;Trimestre 2;Trimestre 2;Trimestre 3;Trimestre 3;Trimestre 3;Trimestre 3;;;;;;;;;;;;;;;;;;Wcv-LGZa8cjaMN8Qs1fgAw91nICobomNCcag577rDCI;9SKAZVd_e50ujms6tkEJP9e_afvdckaaz3GN09KWnlU
ANGLAIS LVB;1A;19,16;8,50;18,00;20,00;19,50;19,00;19,00;20,00;;;;;;;;;;;;;;;;;;0,50;2,00;2,00;0,50;2,00;2,00;2,00;;;;;;;;;;;;;;;;;;29/01/2024;18/02/2024;11/03/2024;15/04/2024;15/05/2024;19/05/2024;19/05/2024;;;;;;;;;;;;;;;;;;Trimestre 2;Trimestre 2;Trimestre 2;Trimestre 3;Trimestre 3;Trimestre 3;Trimestre 3;;;;;;;;;;;;;;;;;;Jmb2Zp7OzViHfStfxbPZejJQGwNhalrYDPUL9ackCNk;9SKAZVd_e50ujms6tkEJP9e_afvdckaaz3GN09KWnlU
ANGLAIS LVB;1A;4,93;3,00;5,00;3,00;7,00;3,00;6,00;7,00;;;;;;;;;;;;;;;;;;0,50;2,00;2,00;0,50;2,00;2,00;2,00;;;;;;;;;;;;;;;;;;29/01/2024;18/02/2024;11/03/2024;15/04/2024;15/05/2024;19/05/2024;19/05/2024;;;;;;;;;;;;;;;;;;Trimestre 2;Trimestre 2;Trimestre 2;Trimestre 3;Trimestre 3;Trimestre 3;Trimestre 3;;;;;;;;;;;;;;;;;;g34-PymcwTHigMQA-tcOWM7lTXmazA41KO7I5TfRLS4;9SKAZVd_e50ujms6tkEJP9e_afvdckaaz3GN09KWnlU
ANGLAIS LVB;1A;15,79;8,00;16,50;17,00;17,50;18,00;9,00;18,00;;;;;;;;;;;;;;;;;;0,50;2,00;2,00;0,50;2,00;2,00;2,00;;;;;;;;;;;;;;;;;;29/01/2024;18/02/2024;11/03/2024;15/04/2024;15/05/2024;19/05/2024;19/05/2024;;;;;;;;;;;;;;;;;;Trimestre 2;Trimestre 2;Trimestre 2;Trimestre 3;Trimestre 3;Trimestre 3;Trimestre 3;;;;;;;;;;;;;;;;;;L4QL8ltgetnUp0hCH1kvkkOXLhS4gL5w0theSjYVYc4;9SKAZVd_e50ujms6tkEJP9e_afvdckaaz3GN09KWnlU
ANGLAIS LVB;1A;16,63;3,00;17,00;15,00;18,50;18,00;17,00;17,00;;;;;;;;;;;;;;;;;;0,50;2,00;2,00;0,50;2,00;2,00;2,00;;;;;;;;;;;;;;;;;;29/01/2024;18/02/2024;11/03/2024;15/04/2024;15/05/2024;19/05/2024;19/05/2024;;;;;;;;;;;;;;;;;;Trimestre 2;Trimestre 2;Trimestre 2;Trimestre 3;Trimestre 3;Trimestre 3;Trimestre 3;;;;;;;;;;;;;;;;;;H_euoKbCaEqXVKQ3jtX7_Z9LaA4YN_Tj7-FHjOpAZqY;9SKAZVd_e50ujms6tkEJP9e_afvdckaaz3GN09KWnlU
ANGLAIS LVB;1A;13,65;6,50;14,50;14,00;9,00;9,00;16,00;16,00;;;;;;;;;;;;;;;;;;0,50;2,00;2,00;0,50;2,00;2,00;2,00;;;;;;;;;;;;;;;;;;29/01/2024;18/02/2024;11/03/2024;15/04/2024;15/05/2024;19/05/2024;19/05/2024;;;;;;;;;;;;;;;;;;Trimestre 2;Trimestre 2;Trimestre 2;Trimestre 3;Trimestre 3;Trimestre 3;Trimestre 3;;;;;;;;;;;;;;;;;;M_dfb_cusVE8FUwHIR6wNBQVsTK96E2GDKV6cxHciMI;9SKAZVd_e50ujms6tkEJP9e_afvdckaaz3GN09KWnlU
ANGLAIS LVB;1A;14,88;7,00;14,00;18,00;13,00;14,00;16,00;13,00;;;;;;;;;;;;;;;;;;0,50;2,00;2,00;0,50;2,00;2,00;2,00;;;;;;;;;;;;;;;;;;29/01/2024;18/02/2024;11/03/2024;15/04/2024;15/05/2024;19/05/2024;19/05/2024;;;;;;;;;;;;;;;;;;Trimestre 2;Trimestre 2;Trimestre 2;Trimestre 3;Trimestre 3;Trimestre 3;Trimestre 3;;;;;;;;;;;;;;;;;;DyJf1T4yDLgrUi52e67pJRZ2osLJ06bgQGRyybEHGAw;9SKAZVd_e50ujms6tkEJP9e_afvdckaaz3GN09KWnlU
ANGLAIS LVB;1A;8,19;Abs;11,00;6,00;0,00;11,00;6,00;9,00;;;;;;;;;;;;;;;;;;0,50;2,00;2,00;0,50;2,00;2,00;2,00;;;;;;;;;;;;;;;;;;29/01/2024;18/02/2024;11/03/2024;15/04/2024;15/05/2024;19/05/2024;19/05/2024;;;;;;;;;;;;;;;;;;Trimestre 2;Trimestre 2;Trimestre 2;Trimestre 3;Trimestre 3;Trimestre 3;Trimestre 3;;;;;;;;;;;;;;;;;;iZ7mcjzo2OmLsnUjV581ksgku0_jJR2peEFuZcuTmNI;9SKAZVd_e50ujms6tkEJP9e_afvdckaaz3GN09KWnlU
ANGLAIS LVB;1A;18,02;10,00;19,00;18,00;17,50;18,00;17,00;18,00;;;;;;;;;;;;;;;;;;0,50;2,00;2,00;0,50;2,00;2,00;2,00;;;;;;;;;;;;;;;;;;29/01/2024;18/02/2024;11/03/2024;15/04/2024;15/05/2024;19/05/2024;19/05/2024;;;;;;;;;;;;;;;;;;Trimestre 2;Trimestre 2;Trimestre 2;Trimestre 3;Trimestre 3;Trimestre 3;Trimestre 3;;;;;;;;;;;;;;;;;;0M7YVYNgcnP1fXyEH27kTbI8xI3J_5Y_VDWwdsv78ws;9SKAZVd_e50ujms6tkEJP9e_afvdckaaz3GN09KWnlU
