classes;periode;appr;eleve_id
Terminale;;L'ensemble est convenable, voire moyen. Mamoun est capable de progresser au prochain trimestre s'il se donne les moyens en faisant davantage d'efforts tant en classe qu'à la maison. Nous t'encourageons à persévérer dans tes efforts.;cOEtYHptjUxWchHTfvof0dyKnZzEkEypQkjoamXFzgM
Terminale;;Une légère progression en moyenne par rapport au premier trimestre. Il serait bon d'accélérer ton rythme de travail à présent afin de faire face aux difficultés des notions abordées. Tu en es capable.;cOEtYHptjUxWchHTfvof0dyKnZzEkEypQkjoamXFzgM
Terminale;;Trimestre  satisfaisant. Mamoun a fait des progrès sensibles grâce à un investissement de qualité et des efforts réguliers. Très bonne continuation pour la suite.;cOEtYHptjUxWchHTfvof0dyKnZzEkEypQkjoamXFzgM
Terminale;;Bilan globalement satisfaisant avec une attitude exemplaire. En effet Hiba est sérieuse, et fait preuve de curiosité et de pertinence dans sa réflexion. il lui faut accentuer son travail à la maison pour pouvoir progresser en deuxième trimestre et réaliser des résultats probants.;kVJ4BveOPRgfLdAEaiM4T6gYYiJxH75-k5sMkjWMRlA
Terminale;;Résultats satisfaisants. Hiba a marqué une évolution par rapport au premier trimestre due notamment à son sérieux et à sa persévérance. Toutes nos félicitation et bonne continuation.;kVJ4BveOPRgfLdAEaiM4T6gYYiJxH75-k5sMkjWMRlA
Terminale;;"Un bilan très positif, tant au niveau du sérieux de ton travail que de l'investissement en classe. Tes efforts et ton détermination t'ont permis de progresser. Nous t'encourageons à poursuivre sur cette dynamique.Elève ayant participé à plusieurs MUN (Model of United Nations), organisés en interne, Mini-MUN Daudet et en externe, OSUIMUN. Cette élève a brillé au sein du comité ""UNHCR"" en langue anglaise lors de l'événement de l'OSUIMUN, lui valant une mention honorable, pour son engagement et ses précieuses contributions.";kVJ4BveOPRgfLdAEaiM4T6gYYiJxH75-k5sMkjWMRlA
6A;;Karam réalise un très bon trimestre. L'ensemble des enseignants salue ton sérieux ainsi que la qualité de ton travail et t'invites à rester concentré dans toutes les matières pour exceller au prochain trimestre.;XsU1KdAl5QgIx_di3xx-djOl3aLVTf7t7Gj2AvygRkc
6A;;Un très bon trimestre en termes de résultats mais une attitude bavarde en classe qui a fait légèrement baisser ses résultats dans certaines matières. Des efforts de concentration sont attendus au troisième trimestre afin de finir l'année sur l'excellence!;XsU1KdAl5QgIx_di3xx-djOl3aLVTf7t7Gj2AvygRkc
6A;;Les résultats du 3ème trimestre sont satisfaisants. Karam a de belles capacités. Afin de progresser, et faire face aux nouvelles difficultés du cycle 4 de l’année prochaine, il devra gagner en maturité et se montrer plus concentré en classe. Nous comptons sur lui !;XsU1KdAl5QgIx_di3xx-djOl3aLVTf7t7Gj2AvygRkc
6B;;Ensemble assez satisfaisant. Khadija est volontaire mais ses capacités ne sont pas totalement exploitées à cause d'une attitude fluctuante en classe. Nous notons les efforts qu'il faudra généraliser à l'ensemble des matières au second trimestre.;ww8mP6wci6pu9RRqK6lcvQQHXgUF0D3t8YtsbDWAEcQ
6B;;Un second trimestre qui marque un tournant dans l'attitude de Khadija : elle est plus concentrée, et cela se ressent sur les résultats. L'ensemble des professeurs t'encourage à poursuivre généraliser les efforts dans l'ensemble des matières.;ww8mP6wci6pu9RRqK6lcvQQHXgUF0D3t8YtsbDWAEcQ
6B;;Ensemble encore trop juste. Khadija doit renforcer le travail à la maison tout comme l'attention en classe, auquel cas, le passage au cycle 4 pourrait être compliqué. Elève ayant participé à deux MUN, Mini-MUN DAUDET (Model of United Nations) organisés en interne par le club du lycée.;ww8mP6wci6pu9RRqK6lcvQQHXgUF0D3t8YtsbDWAEcQ
1B/C;;Vos résultats sont irréguliers et très fragiles. Yahya rencontre des difficultés, mais son sérieux est manifeste. Nous vous encourageons à persévérer dans vos efforts.;fIt8WCE2mRt8_OGeNI7XmGCNbRmtwwLA5cDOusKUsfc
1B/C;;Yahya fait face à des difficultés, mais son sérieux est évident. Nous reconnaissons les obstacles qu'il rencontre et l'encourageons à persévérer malgré eux.;fIt8WCE2mRt8_OGeNI7XmGCNbRmtwwLA5cDOusKUsfc
1B/C;;Malgré vos grandes difficultés, vous avez su rester appliqué et positif. Nous vous en félicitons et vous invitons à envisager une réorientation.;fIt8WCE2mRt8_OGeNI7XmGCNbRmtwwLA5cDOusKUsfc
2A;;Un trimestre satisfaisant et encourageant pour Mehdi, l'ensemble de l'équipe pédagogique souligne votre investissement sans failles et votre sérieux.;vd8LcO0A9RyLfTqAW9YSqfwGdKPahdZeTasrJgOoR-s
2A;;Un trimestre aux résultats inégaux, l'ensemble de l'équipe pédagogique souligne votre investissement. Cependant dans de nombreuses disciplines les compétences de seconde ne sont pas atteintes malgré les aménagements. Il faut poursuivre vos efforts pour surmonter les difficultés et envisager une première sereine.;vd8LcO0A9RyLfTqAW9YSqfwGdKPahdZeTasrJgOoR-s
2A;;Un trimestre aux résultats convenables qui ont été obtenus grâce aux aménagements. Mehdi fournit des efforts conséquents et ne se démotive pas face aux difficultés. Il faut poursuivre vos efforts l'année prochaine.;vd8LcO0A9RyLfTqAW9YSqfwGdKPahdZeTasrJgOoR-s
1B/C;;Ce premier trimestre manque de régularité, ce qui fragilise certaines disciplines. Nous attendons de vous un travail plus rigoureux et nous savons que vous en êtes capable. En vous impliquant davantage, vous progresserez. Nous comptons sur vous.;WS4WDhmqO5Qcb0LibUmX64_gzrBx85uRjceQHJarop4
1B/C;;"Un ensemble assez satisfaisant et en progrès ; cependant, il est nécessaire de fournir un effort supplémentaire dans vos spécialités pour obtenir un meilleur bilan. Vous en êtes capable, nous comptons sur vous.";WS4WDhmqO5Qcb0LibUmX64_gzrBx85uRjceQHJarop4
1B/C;;Vous avez fait un bon trimestre dans l'ensemble. Votre attitude sérieuse et votre volonté de bien faire devraient vous permettre de progresser. Nous vous encourageons à poursuivre vos efforts.;WS4WDhmqO5Qcb0LibUmX64_gzrBx85uRjceQHJarop4
2A;;Un excellent trimestre, le travail est sérieux et l'attitude est irréprochable. L'ensemble de l'équipe vous félicite;yCIAkn6YiEr9R-QONCxcgAf2_yIROwyHfepoHzzaW34
