classes;motif;regle;date;heure;duree;eleve_id
Terminale;SANS EXCUSES;O;2024-01-10;10:10:00;00:05:00;cOEtYHptjUxWchHTfvof0dyKnZzEkEypQkjoamXFzgM
6A;DIVERS;O;2023-09-19;15:00:00;00:05:00;XsU1KdAl5QgIx_di3xx-djOl3aLVTf7t7Gj2AvygRkc
6A;SANS EXCUSES;O;2023-09-22;10:10:00;00:05:00;XsU1KdAl5QgIx_di3xx-djOl3aLVTf7t7Gj2AvygRkc
6A;SANS EXCUSES;O;2023-10-09;13:50:00;00:05:00;XsU1KdAl5QgIx_di3xx-djOl3aLVTf7t7Gj2AvygRkc
6A;SANS EXCUSES;O;2023-10-20;12:50:00;00:05:00;XsU1KdAl5QgIx_di3xx-djOl3aLVTf7t7Gj2AvygRkc
6A;SANS EXCUSES;O;2024-02-02;10:10:00;00:05:00;XsU1KdAl5QgIx_di3xx-djOl3aLVTf7t7Gj2AvygRkc
6A;SANS EXCUSES;O;2024-02-02;15:00:00;00:05:00;XsU1KdAl5QgIx_di3xx-djOl3aLVTf7t7Gj2AvygRkc
6A;SANS EXCUSES;O;2024-04-08;13:50:00;00:05:00;XsU1KdAl5QgIx_di3xx-djOl3aLVTf7t7Gj2AvygRkc
6A;SANS EXCUSES;O;2024-04-15;13:50:00;00:05:00;XsU1KdAl5QgIx_di3xx-djOl3aLVTf7t7Gj2AvygRkc
6A;PROBLEME DE TRANSPORT;O;2024-04-22;08:00:00;00:05:00;XsU1KdAl5QgIx_di3xx-djOl3aLVTf7t7Gj2AvygRkc
6A;SANS EXCUSES;O;2024-04-22;13:50:00;00:05:00;XsU1KdAl5QgIx_di3xx-djOl3aLVTf7t7Gj2AvygRkc
6A;SANS EXCUSES;O;2024-05-27;13:50:00;00:05:00;XsU1KdAl5QgIx_di3xx-djOl3aLVTf7t7Gj2AvygRkc
6A;Motif non encore connu;N;2024-06-24;13:50:00;00:06:00;XsU1KdAl5QgIx_di3xx-djOl3aLVTf7t7Gj2AvygRkc
6B;SANS EXCUSES;O;2023-10-12;10:10:00;00:05:00;ww8mP6wci6pu9RRqK6lcvQQHXgUF0D3t8YtsbDWAEcQ
6B;SANS EXCUSES;O;2023-10-12;15:00:00;00:05:00;ww8mP6wci6pu9RRqK6lcvQQHXgUF0D3t8YtsbDWAEcQ
6B;SANS EXCUSES;O;2023-12-20;10:10:00;00:05:00;ww8mP6wci6pu9RRqK6lcvQQHXgUF0D3t8YtsbDWAEcQ
6B;SANS EXCUSES;O;2024-01-08;15:00:00;00:05:00;ww8mP6wci6pu9RRqK6lcvQQHXgUF0D3t8YtsbDWAEcQ
6B;PROBLEME DE TRANSPORT;O;2024-01-19;08:00:00;00:05:00;ww8mP6wci6pu9RRqK6lcvQQHXgUF0D3t8YtsbDWAEcQ
6B;SANS EXCUSES;O;2024-02-07;10:10:00;00:05:00;ww8mP6wci6pu9RRqK6lcvQQHXgUF0D3t8YtsbDWAEcQ
6B;PROBLEME DE TRANSPORT;O;2024-02-08;08:00:00;00:05:00;ww8mP6wci6pu9RRqK6lcvQQHXgUF0D3t8YtsbDWAEcQ
6B;SANS EXCUSES;O;2024-04-01;10:10:00;00:05:00;ww8mP6wci6pu9RRqK6lcvQQHXgUF0D3t8YtsbDWAEcQ
6B;Motif non encore connu;N;2024-06-07;13:50:00;00:05:00;ww8mP6wci6pu9RRqK6lcvQQHXgUF0D3t8YtsbDWAEcQ
6B;PROBLEME DE TRANSPORT;O;2024-06-19;08:00:00;00:05:00;ww8mP6wci6pu9RRqK6lcvQQHXgUF0D3t8YtsbDWAEcQ
1B/C;SANS EXCUSES;O;2023-09-14;10:10:00;00:05:00;fIt8WCE2mRt8_OGeNI7XmGCNbRmtwwLA5cDOusKUsfc
1B/C;PROBLEME DE TRANSPORT;O;2023-12-15;08:00:00;00:05:00;fIt8WCE2mRt8_OGeNI7XmGCNbRmtwwLA5cDOusKUsfc
1B/C;PROBLEME DE TRANSPORT;O;2024-01-22;08:00:00;00:05:00;fIt8WCE2mRt8_OGeNI7XmGCNbRmtwwLA5cDOusKUsfc
1B/C;PROBLEME DE TRANSPORT;O;2024-02-08;08:00:00;00:05:00;fIt8WCE2mRt8_OGeNI7XmGCNbRmtwwLA5cDOusKUsfc
2A;Motif non encore connu;N;2024-06-04;10:10:00;00:10:00;vd8LcO0A9RyLfTqAW9YSqfwGdKPahdZeTasrJgOoR-s
1B/C;DIVERS;O;2023-09-13;09:00:00;00:05:00;WS4WDhmqO5Qcb0LibUmX64_gzrBx85uRjceQHJarop4
1B/C;PROBLEME DE TRANSPORT;O;2023-10-09;08:00:00;00:05:00;WS4WDhmqO5Qcb0LibUmX64_gzrBx85uRjceQHJarop4
1B/C;SANS EXCUSES;O;2024-03-27;10:10:00;00:05:00;WS4WDhmqO5Qcb0LibUmX64_gzrBx85uRjceQHJarop4
1B/C;SANS EXCUSES;O;2024-05-15;10:10:00;00:05:00;WS4WDhmqO5Qcb0LibUmX64_gzrBx85uRjceQHJarop4
2A;SANS EXCUSES;O;2024-03-21;10:10:00;00:05:00;yCIAkn6YiEr9R-QONCxcgAf2_yIROwyHfepoHzzaW34
2A;Motif non encore connu;N;2024-06-06;09:00:00;00:10:00;yCIAkn6YiEr9R-QONCxcgAf2_yIROwyHfepoHzzaW34
4A;SANS EXCUSES;O;2023-09-14;15:00:00;00:05:00;9aboz2vSFuXu8Y-fCFsCb5kO1x4Vtgj6PAGNqKiVG8A
4A;SANS EXCUSES;O;2023-11-21;15:00:00;00:05:00;9aboz2vSFuXu8Y-fCFsCb5kO1x4Vtgj6PAGNqKiVG8A
4A;SANS EXCUSES;O;2024-02-12;13:50:00;00:05:00;9aboz2vSFuXu8Y-fCFsCb5kO1x4Vtgj6PAGNqKiVG8A
4A;SANS EXCUSES;O;2024-02-13;10:10:00;00:05:00;9aboz2vSFuXu8Y-fCFsCb5kO1x4Vtgj6PAGNqKiVG8A
