classes;motif;date;nb_demi_journee;eleve_id
Terminale;MALADIE SANS CERTIFICAT;2023-10-05;1;cOEtYHptjUxWchHTfvof0dyKnZzEkEypQkjoamXFzgM
Terminale;MALADIE SANS CERTIFICAT;2024-01-26;1;cOEtYHptjUxWchHTfvof0dyKnZzEkEypQkjoamXFzgM
Terminale;MALADIE SANS CERTIFICAT;2024-01-29;1;cOEtYHptjUxWchHTfvof0dyKnZzEkEypQkjoamXFzgM
Terminale;SORTIE SCOLAIRE OU PEDAGOGIQUE;2024-02-12;0;cOEtYHptjUxWchHTfvof0dyKnZzEkEypQkjoamXFzgM
Terminale;RAISON FAMILIALE;2024-04-23;1;cOEtYHptjUxWchHTfvof0dyKnZzEkEypQkjoamXFzgM
Terminale;RAISON FAMILIALE;2024-04-24;2;cOEtYHptjUxWchHTfvof0dyKnZzEkEypQkjoamXFzgM
Terminale;RAISON FAMILIALE;2024-05-14;2;cOEtYHptjUxWchHTfvof0dyKnZzEkEypQkjoamXFzgM
Terminale;RAISON FAMILIALE;2024-05-15;2;cOEtYHptjUxWchHTfvof0dyKnZzEkEypQkjoamXFzgM
Terminale;RAISON FAMILIALE;2024-05-16;1;cOEtYHptjUxWchHTfvof0dyKnZzEkEypQkjoamXFzgM
Terminale;RAISON FAMILIALE;2024-05-17;1;cOEtYHptjUxWchHTfvof0dyKnZzEkEypQkjoamXFzgM
Terminale;RAISON FAMILIALE;2024-05-20;1;cOEtYHptjUxWchHTfvof0dyKnZzEkEypQkjoamXFzgM
Terminale;RAISON FAMILIALE;2024-05-21;1;cOEtYHptjUxWchHTfvof0dyKnZzEkEypQkjoamXFzgM
Terminale;RAISON FAMILIALE;2024-05-22;1;cOEtYHptjUxWchHTfvof0dyKnZzEkEypQkjoamXFzgM
Terminale;RAISON FAMILIALE;2024-05-23;2;cOEtYHptjUxWchHTfvof0dyKnZzEkEypQkjoamXFzgM
Terminale;RAISON FAMILIALE;2024-05-27;2;cOEtYHptjUxWchHTfvof0dyKnZzEkEypQkjoamXFzgM
Terminale;RAISON FAMILIALE;2024-05-28;1;cOEtYHptjUxWchHTfvof0dyKnZzEkEypQkjoamXFzgM
Terminale;RAISON FAMILIALE;2024-05-28;1;cOEtYHptjUxWchHTfvof0dyKnZzEkEypQkjoamXFzgM
Terminale;RAISON FAMILIALE;2024-05-29;1;cOEtYHptjUxWchHTfvof0dyKnZzEkEypQkjoamXFzgM
Terminale;RAISON FAMILIALE;2024-05-29;1;cOEtYHptjUxWchHTfvof0dyKnZzEkEypQkjoamXFzgM
Terminale;RAISON FAMILIALE;2024-05-30;1;cOEtYHptjUxWchHTfvof0dyKnZzEkEypQkjoamXFzgM
Terminale;RAISON FAMILIALE;2024-05-31;1;cOEtYHptjUxWchHTfvof0dyKnZzEkEypQkjoamXFzgM
Terminale;MALADIE SANS CERTIFICAT;2023-09-08;2;kVJ4BveOPRgfLdAEaiM4T6gYYiJxH75-k5sMkjWMRlA
Terminale;MALADIE AVEC CERTIFICAT;2024-01-24;2;kVJ4BveOPRgfLdAEaiM4T6gYYiJxH75-k5sMkjWMRlA
Terminale;MALADIE AVEC CERTIFICAT;2024-01-25;2;kVJ4BveOPRgfLdAEaiM4T6gYYiJxH75-k5sMkjWMRlA
Terminale;MALADIE AVEC CERTIFICAT;2024-01-26;1;kVJ4BveOPRgfLdAEaiM4T6gYYiJxH75-k5sMkjWMRlA
Terminale;RETOUR DOMICILE;2024-02-12;2;kVJ4BveOPRgfLdAEaiM4T6gYYiJxH75-k5sMkjWMRlA
Terminale;MALADIE SANS CERTIFICAT;2024-05-15;2;kVJ4BveOPRgfLdAEaiM4T6gYYiJxH75-k5sMkjWMRlA
Terminale;RETARD PLUS DE 5 MIN;2024-05-16;1;kVJ4BveOPRgfLdAEaiM4T6gYYiJxH75-k5sMkjWMRlA
Terminale;RAISON FAMILIALE;2024-05-17;1;kVJ4BveOPRgfLdAEaiM4T6gYYiJxH75-k5sMkjWMRlA
Terminale;RAISON FAMILIALE;2024-05-21;1;kVJ4BveOPRgfLdAEaiM4T6gYYiJxH75-k5sMkjWMRlA
Terminale;RAISON FAMILIALE;2024-05-22;1;kVJ4BveOPRgfLdAEaiM4T6gYYiJxH75-k5sMkjWMRlA
Terminale;RAISON FAMILIALE;2024-05-22;1;kVJ4BveOPRgfLdAEaiM4T6gYYiJxH75-k5sMkjWMRlA
Terminale;RAISON FAMILIALE;2024-05-23;2;kVJ4BveOPRgfLdAEaiM4T6gYYiJxH75-k5sMkjWMRlA
Terminale;RAISON FAMILIALE;2024-05-27;2;kVJ4BveOPRgfLdAEaiM4T6gYYiJxH75-k5sMkjWMRlA
Terminale;RAISON FAMILIALE;2024-05-28;1;kVJ4BveOPRgfLdAEaiM4T6gYYiJxH75-k5sMkjWMRlA
Terminale;RAISON FAMILIALE;2024-05-28;1;kVJ4BveOPRgfLdAEaiM4T6gYYiJxH75-k5sMkjWMRlA
Terminale;RAISON FAMILIALE;2024-05-28;1;kVJ4BveOPRgfLdAEaiM4T6gYYiJxH75-k5sMkjWMRlA
Terminale;RAISON FAMILIALE;2024-05-29;1;kVJ4BveOPRgfLdAEaiM4T6gYYiJxH75-k5sMkjWMRlA
Terminale;RAISON FAMILIALE;2024-05-29;1;kVJ4BveOPRgfLdAEaiM4T6gYYiJxH75-k5sMkjWMRlA
Terminale;RAISON FAMILIALE;2024-05-30;1;kVJ4BveOPRgfLdAEaiM4T6gYYiJxH75-k5sMkjWMRlA
Terminale;RAISON FAMILIALE;2024-05-30;1;kVJ4BveOPRgfLdAEaiM4T6gYYiJxH75-k5sMkjWMRlA
Terminale;RAISON FAMILIALE;2024-05-31;1;kVJ4BveOPRgfLdAEaiM4T6gYYiJxH75-k5sMkjWMRlA
Terminale;RAISON FAMILIALE;2024-06-11;1;kVJ4BveOPRgfLdAEaiM4T6gYYiJxH75-k5sMkjWMRlA
Terminale;RAISON FAMILIALE;2024-06-13;1;kVJ4BveOPRgfLdAEaiM4T6gYYiJxH75-k5sMkjWMRlA
6A;RAISON FAMILIALE;2023-09-05;1;XsU1KdAl5QgIx_di3xx-djOl3aLVTf7t7Gj2AvygRkc
6A;SORTIE SCOLAIRE OU PEDAGOGIQUE;2023-10-05;0;XsU1KdAl5QgIx_di3xx-djOl3aLVTf7t7Gj2AvygRkc
6A;SORTIE SCOLAIRE OU PEDAGOGIQUE;2023-10-06;0;XsU1KdAl5QgIx_di3xx-djOl3aLVTf7t7Gj2AvygRkc
6A;MALADIE SANS CERTIFICAT;2024-01-16;1;XsU1KdAl5QgIx_di3xx-djOl3aLVTf7t7Gj2AvygRkc
6A;MALADIE SANS CERTIFICAT;2024-01-16;2;XsU1KdAl5QgIx_di3xx-djOl3aLVTf7t7Gj2AvygRkc
6A;SANS EXCUSES;2024-02-15;1;XsU1KdAl5QgIx_di3xx-djOl3aLVTf7t7Gj2AvygRkc
6A;MALADIE SANS CERTIFICAT;2024-03-20;1;XsU1KdAl5QgIx_di3xx-djOl3aLVTf7t7Gj2AvygRkc
6A;SANS EXCUSES;2024-04-03;1;XsU1KdAl5QgIx_di3xx-djOl3aLVTf7t7Gj2AvygRkc
6A;SANS EXCUSES;2024-04-15;1;XsU1KdAl5QgIx_di3xx-djOl3aLVTf7t7Gj2AvygRkc
6B;ERREUR EDT;2023-09-11;1;ww8mP6wci6pu9RRqK6lcvQQHXgUF0D3t8YtsbDWAEcQ
6B;Projet pédagogique;2024-03-26;0;ww8mP6wci6pu9RRqK6lcvQQHXgUF0D3t8YtsbDWAEcQ
6B;RAISON FAMILIALE;2024-04-15;2;ww8mP6wci6pu9RRqK6lcvQQHXgUF0D3t8YtsbDWAEcQ
6B;RAISON FAMILIALE;2024-04-16;2;ww8mP6wci6pu9RRqK6lcvQQHXgUF0D3t8YtsbDWAEcQ
6B;RAISON FAMILIALE;2024-04-17;1;ww8mP6wci6pu9RRqK6lcvQQHXgUF0D3t8YtsbDWAEcQ
1B/C;MALADIE SANS CERTIFICAT;2023-11-17;2;fIt8WCE2mRt8_OGeNI7XmGCNbRmtwwLA5cDOusKUsfc
1B/C;MALADIE SANS CERTIFICAT;2023-11-20;1;fIt8WCE2mRt8_OGeNI7XmGCNbRmtwwLA5cDOusKUsfc
1B/C;MALADIE SANS CERTIFICAT;2023-11-21;1;fIt8WCE2mRt8_OGeNI7XmGCNbRmtwwLA5cDOusKUsfc
1B/C;Motif non encore connu;2024-05-22;1;fIt8WCE2mRt8_OGeNI7XmGCNbRmtwwLA5cDOusKUsfc
1B/C;Motif non encore connu;2024-05-22;1;fIt8WCE2mRt8_OGeNI7XmGCNbRmtwwLA5cDOusKUsfc
1B/C;Motif non encore connu;2024-05-23;1;fIt8WCE2mRt8_OGeNI7XmGCNbRmtwwLA5cDOusKUsfc
1B/C;Motif non encore connu;2024-05-23;2;fIt8WCE2mRt8_OGeNI7XmGCNbRmtwwLA5cDOusKUsfc
1B/C;Motif non encore connu;2024-05-24;1;fIt8WCE2mRt8_OGeNI7XmGCNbRmtwwLA5cDOusKUsfc
1B/C;Motif non encore connu;2024-05-24;2;fIt8WCE2mRt8_OGeNI7XmGCNbRmtwwLA5cDOusKUsfc
1B/C;Motif non encore connu;2024-05-27;1;fIt8WCE2mRt8_OGeNI7XmGCNbRmtwwLA5cDOusKUsfc
1B/C;Motif non encore connu;2024-05-28;1;fIt8WCE2mRt8_OGeNI7XmGCNbRmtwwLA5cDOusKUsfc
1B/C;Motif non encore connu;2024-05-28;1;fIt8WCE2mRt8_OGeNI7XmGCNbRmtwwLA5cDOusKUsfc
