eleve_id;date_naiss;classes;sexe
cOEtYHptjUxWchHTfvof0dyKnZzEkEypQkjoamXFzgM;2006-05-24;Terminale;M
kVJ4BveOPRgfLdAEaiM4T6gYYiJxH75-k5sMkjWMRlA;2006-06-21;Terminale;F
ATCMqkn4IxyWnEMJMyKB3600qID0o8QzGH9SB5JVbu0;2017-07-20;nan;M
rZOPuQCY5TujsGawN7vmueWpLQtsPOMj0Ear5CDwXpA;2010-10-14;nan;F
muWt2HW31vD8d58lLHQSzjxmcx0uov7H1GHVkfSeqHk;2018-04-29;nan;M
XsU1KdAl5QgIx_di3xx-djOl3aLVTf7t7Gj2AvygRkc;2012-05-08;6A;M
ww8mP6wci6pu9RRqK6lcvQQHXgUF0D3t8YtsbDWAEcQ;2012-12-10;6B;F
fIt8WCE2mRt8_OGeNI7XmGCNbRmtwwLA5cDOusKUsfc;2007-01-07;1B/C;M
vd8LcO0A9RyLfTqAW9YSqfwGdKPahdZeTasrJgOoR-s;2007-07-11;2A;M
WS4WDhmqO5Qcb0LibUmX64_gzrBx85uRjceQHJarop4;2007-10-23;1B/C;M
yCIAkn6YiEr9R-QONCxcgAf2_yIROwyHfepoHzzaW34;2008-11-13;2A;F
D7MBjAxD-iJj8Hmo8vD5URgkzYrqfVHjjfBF9lwC_Q4;2005-04-08;nan;F
tWBZ8shj6htWzGhwzswm0wMIYCdOAHTCRzGQsqG962E;2009-12-26;nan;M
9aboz2vSFuXu8Y-fCFsCb5kO1x4Vtgj6PAGNqKiVG8A;2010-11-02;4A;M
xcdxzhLch7KI8G7nz5ZR2YAGWnirP87bFTGzTlAkR6k;2013-06-02;nan;M
YTJheOHtAHigtQ0-xd84VTg-Uw4cr38Gpl4zxEwoZF8;2009-09-19;3B;M
NZcB_NWzkvNVkWJH9TOsDyIGhYeeboQeA_RLko22wpY;2015-10-31;nan;F
lACVxPUlyoyJlKmJHYGXlF02Gw_rtaJPWFCdlMg0QVQ;2011-10-31;5C;F
KNiNLCREGDsYS3JfWj8YTNiZNglU1-ynSVLXYPn4I7Q;2013-06-02;nan;F
FWpkmOpwz01EUkryFOYmxwTOeZsjWJ8pgO_vYpVM6Fs;2015-02-06;nan;M
wJFq36b5gH25x5Dv890k30LX4xLU9ZLYlCwnleBE5Cw;2017-03-24;nan;F
Y1aZFzPtgmblJDWihsoD-JdAxOmf9--cpMvWZ5sLIhw;2016-03-29;nan;M
fplKmk-zsjXzqqW650VApjy7Zi-ra2brL1rD8ZYeqWw;2012-02-03;nan;F
nuFT7gYW8a0DBH_0pPsXQc3O8C7L2A_HL2OJFHdUhOg;2013-11-09;nan;F
JiugwMIvJyLVdvE9P8KWtAcRVNFAreRZGBpjlokQtA4;2013-08-22;nan;M
x98XOvwoNyehe5aGZFC4QGm8ZPyM6Sof0LJwXpfNP-c;2007-10-08;1A;M
qFM3VKtuhvVjtKOZV821-RK_Pc5_ymt5aBeC1EBXuFQ;2011-03-09;5A;F
sS0xp35dB4R0oCpR6MKfzqqgvkKWgwXtYKICYYuZmWM;2012-05-28;6A;F
IE5czaM5eqGcurQ3enbVlHDxYSPxeyxdgs96uGY3kV8;2009-09-16;3B;M
DA3lFXuYQCYoNE-0rWpXUg5UnTFsd-Tgm-HBtpd-s9k;2011-12-22;5A;F
nUWMHnTMpYd4-z6HVzUITemOix6Jl3TYS1d4sFgbExs;2017-10-30;nan;M
TUUcSkuuTGxNEi80ls8WXMH_DJCBsnXvjSvTQle4Yb4;2008-11-16;2B;F
1Iajm6QBIbny62jjeJtVQ-AWwdHA-VXyv9bC_B0boVE;2011-01-19;5C;F
geP3dvwhju2coxz95QgJAYrnucPl30Vk_ET6eul_Nog;2012-11-30;6C;M
SssIp77lSqu-csQAdljrccYIGSpCUoZdw-Lcr87vgZs;2015-12-17;nan;F
Wcv-LGZa8cjaMN8Qs1fgAw91nICobomNCcag577rDCI;2007-07-03;1B/C;M
0UGscSZ3Vm7Nrp8WZ6JilN_Yw7StpEGcUpuGQB7x3D8;2017-06-07;nan;M
vHiKJedL8UWFCxEoClr0ZZmAs_UYz1-IXecIBRQoTFg;2012-08-07;6B;F
OOpRCRxvrwoyfys-Yh0wxX2Tbib8y2cclwOUWTh78Rw;2009-12-20;3A;F
0KKBKLP8YKH8y1iOxusjfq4YYltI9NEo-1By1V3NF9E;2010-02-02;4B;M
tPttCr4FdfOwDWhWFi2ScH154wk2iSBdx6Eqj6z2pRI;2010-10-20;4C;M
Jmb2Zp7OzViHfStfxbPZejJQGwNhalrYDPUL9ackCNk;2009-02-24;1A;F
g34-PymcwTHigMQA-tcOWM7lTXmazA41KO7I5TfRLS4;2006-04-19;1A;M
DBfFcnxeAIGO6dvZxYyGsnZkC4qKkVNaaOkHgowGfSk;2008-05-28;2B;F
39WxASZcZjpS9xdpxgAqVJZUz15fmNHYgr85LSvmZCU;2015-08-03;nan;F
L4QL8ltgetnUp0hCH1kvkkOXLhS4gL5w0theSjYVYc4;2007-07-18;1A;M
zTthA_6HpNp0Q1J0ixKTaL5gl0YFBod_MdLcLK1u4LI;2014-12-13;nan;M
Rfztdm6XGvoJyTPDL-n8nmI6nOxUTiINgZiJsxRtWko;2013-02-10;nan;F
qgwfXNdiOgmo6UyG6fT7cI7fJ1wUo69HgjuIZWAqXmU;2012-07-17;6A;M
svgIZkFdvEA614tScOOGaJFyVxTJSfB_1vA_2B4tc5I;2012-07-17;6C;M
kpWZEFB3rSR5WcZsr20XHb1xKtRFde52qg2fgUF24yI;2012-07-17;6B;M
Md0C_U3nCy4cLhtrytEfaVFMe2bwc6jneeDjEGhQeeU;2010-03-03;4A;M
zl5tORI3RxLTCoD0ZQDza_5AjGlnoSaauqRgsguzh4U;2012-07-17;nan;M
PwlFp6DN9CXd4SD6LjhPyHo96AZr9g7Wes_0BXvVksU;2012-07-17;nan;M
vCpq2UgVpoeRmBz9h1PtqQHECbjAyGDSHNybOrfVZos;2012-07-17;nan;M
JREvauLrUoqP3RwmlQR6TtzRviBGcncqzavIJigVeFo;2008-12-29;nan;M
U_KBw26ilo4hlUmBWlNj4EgLPJByacHZpoGKc2wPMJU;2010-03-05;4C;M
HXL6htUZdCZ3GIxPuwbN2jxXe4LqUAGKP68kJGiT3Os;2013-05-24;nan;F
suNdCZ3D03WYe0rNab81_oBDhE4Ds2-9AhnwrHuCb3Y;2010-01-06;3B;M
vW_M2cj2HsKw75JdCYmu1dTpDXoFcfwug4d4zcOUVSw;2008-06-08;2B;F
QEbWXwA71sHvthHjRJ4pjXf7yK1r2oAg2P9EeNnqglI;2009-09-01;3A;F
5tBLiS1TX3ckO4BvHgsbmumGi4AImkGDlE8lzU1NQwI;2011-05-10;5C;F
14KToI0tyl8jO9tTPSB_Nl4BnLEW_8rkNX7g0JbhtXA;2012-01-12;6A;M
pnOYSPGqDnfTkQybynIme0aPiD7XUtwfGe8_Cr3RsiQ;2012-03-08;6B;F
D5G7KYQ3HwW0OFAlkkm-NU8nmb237DheDYkml1V4-ro;2009-05-21;3A;F
2Tm1cjBumw-ZdqAM4a59ijnW-1oGsIaTZGsZWfJW-DI;2011-04-21;5B;M
lNEJ5a05KaUVUoLSYuMlQPkOfjII_JkqOjvBm4EPRr8;2007-08-13;1B/C;F
M_jP9RdLEO2IebxVaa0FarH0S6G_V4285Eekfi8KF8c;2008-05-29;2A;F
TY7wH8ztdhcqtMyUcfu3fVFYyyiCBeG7WpX8FZD_5KM;2014-09-09;nan;M
Olj0Ltnts99LEMuklkz3J_EqOSF96tasI-LMv4AluU0;2015-05-21;nan;F
but9s_pvFy-I3yRkE6gVi5r0iO1NPEGYVdDhi3BXGAs;2007-03-29;nan;F
