classes;matiere;date;trimestre;sur;coeff;note;eleve_id;prof_id;niveau;niveau_de_classe;note_ponderee
1A;Français;2023-09-21;Trimestre 1;20;1.0;13.0;x98XOvwoNyehe5aGZFC4QGm8ZPyM6Sof0LJwXpfNP-c;0-qkoCBCeu1-A2WvQZEecuK98nvosoTdzUTdiI6lwDo;lycée;Première;13.0
1A;SPC;2023-09-25;Trimestre 1;20;0.5;7.0;x98XOvwoNyehe5aGZFC4QGm8ZPyM6Sof0LJwXpfNP-c;zalvxQljlC_iyENJQK4qClMhXqp3ZogCFPq9JR9Yalw;lycée;Première;3.5
1A;Mathématiques;2023-09-26;Trimestre 1;20;1.0;8.0;x98XOvwoNyehe5aGZFC4QGm8ZPyM6Sof0LJwXpfNP-c;JumFXm1J2Jm1zAFbJ-KKVcMFxl2mfiu882gBggAozMg;lycée;Première;8.0
1A;Hist-Géo/EMC;2023-09-27;Trimestre 1;10;1.0;5.0;x98XOvwoNyehe5aGZFC4QGm8ZPyM6Sof0LJwXpfNP-c;MkTDEy0fzub_lzFNRBxLLG0sLd5mzSpMxX3wx8l6Guo;lycée;Première;10.0
1A;Arabe;2023-10-04;Trimestre 1;20;2.0;12.0;x98XOvwoNyehe5aGZFC4QGm8ZPyM6Sof0LJwXpfNP-c;t8jRAdLt_P0Ai2D2pyBamlLBFMnN_k9Od6ycTUB98oA;lycée;Première;24.0
1A;SPC;2023-10-05;Trimestre 1;10;1.0;5.0;x98XOvwoNyehe5aGZFC4QGm8ZPyM6Sof0LJwXpfNP-c;aR5r7eJWG3uAF4iOt4zShmtqKpBy0liTVOxdOWKG6_c;lycée;Première;10.0
1A;SPC;2023-10-05;Trimestre 1;10;1.0;5.25;x98XOvwoNyehe5aGZFC4QGm8ZPyM6Sof0LJwXpfNP-c;aR5r7eJWG3uAF4iOt4zShmtqKpBy0liTVOxdOWKG6_c;lycée;Première;10.5
1A;Hist-Géo/EMC;2023-10-09;Trimestre 1;20;2.0;13.5;x98XOvwoNyehe5aGZFC4QGm8ZPyM6Sof0LJwXpfNP-c;MkTDEy0fzub_lzFNRBxLLG0sLd5mzSpMxX3wx8l6Guo;lycée;Première;27.0
1A;Mathématiques;2023-10-17;Trimestre 1;20;1.0;8.5;x98XOvwoNyehe5aGZFC4QGm8ZPyM6Sof0LJwXpfNP-c;JumFXm1J2Jm1zAFbJ-KKVcMFxl2mfiu882gBggAozMg;lycée;Première;8.5
1A;SPC;2023-10-18;Trimestre 1;20;2.0;6.0;x98XOvwoNyehe5aGZFC4QGm8ZPyM6Sof0LJwXpfNP-c;aR5r7eJWG3uAF4iOt4zShmtqKpBy0liTVOxdOWKG6_c;lycée;Première;12.0
1A;Hist-Géo/EMC;2023-10-18;Trimestre 1;20;0.5;12.0;x98XOvwoNyehe5aGZFC4QGm8ZPyM6Sof0LJwXpfNP-c;MkTDEy0fzub_lzFNRBxLLG0sLd5mzSpMxX3wx8l6Guo;lycée;Première;6.0
1A;Hist-Géo/EMC;2023-11-03;Trimestre 1;5;1.0;1.5;x98XOvwoNyehe5aGZFC4QGm8ZPyM6Sof0LJwXpfNP-c;MkTDEy0fzub_lzFNRBxLLG0sLd5mzSpMxX3wx8l6Guo;lycée;Première;6.0
1A;SVT;2023-11-07;Trimestre 1;20;2.0;15.0;x98XOvwoNyehe5aGZFC4QGm8ZPyM6Sof0LJwXpfNP-c;7dLZyMhOF_FPmomOc2iu30jdKEJUFwLL3G2BAqLUUCc;lycée;Première;30.0
1A;Anglais;2023-11-07;Trimestre 1;20;1.0;14.0;x98XOvwoNyehe5aGZFC4QGm8ZPyM6Sof0LJwXpfNP-c;X58dVOypPle6RruL80DrCLqnnP28AUXsT9dGfVW02c0;lycée;Première;14.0
1A;SPC;2023-11-13;Trimestre 1;20;1.0;16.0;x98XOvwoNyehe5aGZFC4QGm8ZPyM6Sof0LJwXpfNP-c;zalvxQljlC_iyENJQK4qClMhXqp3ZogCFPq9JR9Yalw;lycée;Première;16.0
1A;Arabe;2023-11-16;Trimestre 1;20;1.0;12.0;x98XOvwoNyehe5aGZFC4QGm8ZPyM6Sof0LJwXpfNP-c;t8jRAdLt_P0Ai2D2pyBamlLBFMnN_k9Od6ycTUB98oA;lycée;Première;12.0
1A;Arabe;2023-11-16;Trimestre 1;20;2.0;11.0;x98XOvwoNyehe5aGZFC4QGm8ZPyM6Sof0LJwXpfNP-c;t8jRAdLt_P0Ai2D2pyBamlLBFMnN_k9Od6ycTUB98oA;lycée;Première;22.0
1A;Hist-Géo/EMC;2023-11-17;Trimestre 1;20;1.0;12.0;x98XOvwoNyehe5aGZFC4QGm8ZPyM6Sof0LJwXpfNP-c;MkTDEy0fzub_lzFNRBxLLG0sLd5mzSpMxX3wx8l6Guo;lycée;Première;12.0
1A;Français;2023-11-20;Trimestre 1;20;2.0;10.0;x98XOvwoNyehe5aGZFC4QGm8ZPyM6Sof0LJwXpfNP-c;0-qkoCBCeu1-A2WvQZEecuK98nvosoTdzUTdiI6lwDo;lycée;Première;20.0
1A;EPS;2023-11-23;Trimestre 1;20;1.0;17.0;x98XOvwoNyehe5aGZFC4QGm8ZPyM6Sof0LJwXpfNP-c;wLaK3adgNmfEbAcM2yKRxB2xzndhVK_T02g9h5H3Zo8;lycée;Première;17.0
1A;Anglais;2023-11-23;Trimestre 1;20;1.0;12.0;x98XOvwoNyehe5aGZFC4QGm8ZPyM6Sof0LJwXpfNP-c;X58dVOypPle6RruL80DrCLqnnP28AUXsT9dGfVW02c0;lycée;Première;12.0
1A;Anglais;2023-11-26;Trimestre 1;20;2.0;15.0;x98XOvwoNyehe5aGZFC4QGm8ZPyM6Sof0LJwXpfNP-c;X58dVOypPle6RruL80DrCLqnnP28AUXsT9dGfVW02c0;lycée;Première;30.0
1A;SPC;2023-11-27;Trimestre 1;20;2.0;8.5;x98XOvwoNyehe5aGZFC4QGm8ZPyM6Sof0LJwXpfNP-c;zalvxQljlC_iyENJQK4qClMhXqp3ZogCFPq9JR9Yalw;lycée;Première;17.0
