classes;punition;date;motif;heure;eleve_id
6A;Mot dans le carnet;2023-09-11;Agression d'un élève;;XsU1KdAl5QgIx_di3xx-djOl3aLVTf7t7Gj2AvygRkc
6A;Mot dans le carnet;2023-09-14;travail non fait;;XsU1KdAl5QgIx_di3xx-djOl3aLVTf7t7Gj2AvygRkc
6A;Exclusion de cours;2023-09-19;Retard injustifié;15:00:00;XsU1KdAl5QgIx_di3xx-djOl3aLVTf7t7Gj2AvygRkc
6A;Exclusion de cours;2023-10-02;Attitude en classe, bavardage incessant;15:00:00;XsU1KdAl5QgIx_di3xx-djOl3aLVTf7t7Gj2AvygRkc
6A;Mot dans le carnet;2023-10-18;Agitation en classe;;XsU1KdAl5QgIx_di3xx-djOl3aLVTf7t7Gj2AvygRkc
6A;Mot dans le carnet;2023-11-10;Bavardages et manque de concentration.;;XsU1KdAl5QgIx_di3xx-djOl3aLVTf7t7Gj2AvygRkc
6A;Retenue;2024-01-15;comportement en classe;;XsU1KdAl5QgIx_di3xx-djOl3aLVTf7t7Gj2AvygRkc
6A;Mot dans le carnet;2024-02-05;Agitation en classe;;XsU1KdAl5QgIx_di3xx-djOl3aLVTf7t7Gj2AvygRkc
6A;Retenue;2024-02-19;insulte envers un enseignant, Manque de respect envers le professeur;;XsU1KdAl5QgIx_di3xx-djOl3aLVTf7t7Gj2AvygRkc
6A;Exclusion de cours;2024-03-14;a insulté son camarade de classe;11:10:00;XsU1KdAl5QgIx_di3xx-djOl3aLVTf7t7Gj2AvygRkc
6A;Retenue;2024-03-22;il a seché l'heure de permanence et il jouait le foot au plateau sportif sans autorisation et sans surveillance;;XsU1KdAl5QgIx_di3xx-djOl3aLVTf7t7Gj2AvygRkc
6A;Exclusion de cours;2024-03-25;Retard injustifié;13:50:00;XsU1KdAl5QgIx_di3xx-djOl3aLVTf7t7Gj2AvygRkc
6A;Exclusion de cours;2024-03-29;Retard injustifié, retard sans excuses;15:00:00;XsU1KdAl5QgIx_di3xx-djOl3aLVTf7t7Gj2AvygRkc
6A;Exclusion de cours;2024-04-05;Retard injustifié;12:50:00;XsU1KdAl5QgIx_di3xx-djOl3aLVTf7t7Gj2AvygRkc
6A;Mot dans le carnet;2024-04-15;bavardage incessant;;XsU1KdAl5QgIx_di3xx-djOl3aLVTf7t7Gj2AvygRkc
6A;Mot dans le carnet;2024-04-15;Agitation en classe, Bavardages incessants ;;XsU1KdAl5QgIx_di3xx-djOl3aLVTf7t7Gj2AvygRkc
6A;Exclusion de cours;2024-04-16;Agitation en classe, Attitude en classe;16:00:00;XsU1KdAl5QgIx_di3xx-djOl3aLVTf7t7Gj2AvygRkc
6A;Exclusion de cours;2024-04-19;Agitation en classe;08:00:00;XsU1KdAl5QgIx_di3xx-djOl3aLVTf7t7Gj2AvygRkc
6A;Retenue;2024-04-22;Devoirs non faits;;XsU1KdAl5QgIx_di3xx-djOl3aLVTf7t7Gj2AvygRkc
6A;Retenue;2024-04-22;Agitation en classe;;XsU1KdAl5QgIx_di3xx-djOl3aLVTf7t7Gj2AvygRkc
6A;Retenue;2024-04-22;Insulte en plein cours son camarade;;XsU1KdAl5QgIx_di3xx-djOl3aLVTf7t7Gj2AvygRkc
6A;Retenue;2024-04-26;manque de respect;;XsU1KdAl5QgIx_di3xx-djOl3aLVTf7t7Gj2AvygRkc
6A;Retenue;2024-05-13;Bavardages incessants ;;XsU1KdAl5QgIx_di3xx-djOl3aLVTf7t7Gj2AvygRkc
6A;Mot dans le carnet;2024-05-17;Devoirs non faits;;XsU1KdAl5QgIx_di3xx-djOl3aLVTf7t7Gj2AvygRkc
6A;Mot dans le carnet;2024-05-17;Agitation en classe;;XsU1KdAl5QgIx_di3xx-djOl3aLVTf7t7Gj2AvygRkc
6A;Mot dans le carnet;2024-05-20;Bavardages incessants ;;XsU1KdAl5QgIx_di3xx-djOl3aLVTf7t7Gj2AvygRkc
6A;Mot dans le carnet;2024-05-20;à manque de de respect;;XsU1KdAl5QgIx_di3xx-djOl3aLVTf7t7Gj2AvygRkc
6B;Mot dans le carnet;2023-12-11;bavardage et manque de concentration;;ww8mP6wci6pu9RRqK6lcvQQHXgUF0D3t8YtsbDWAEcQ
6B;Retenue;2024-03-20;plus de 4 retards sans excuses;;ww8mP6wci6pu9RRqK6lcvQQHXgUF0D3t8YtsbDWAEcQ
6B;Mot dans le carnet;2024-04-02;bavardage;;ww8mP6wci6pu9RRqK6lcvQQHXgUF0D3t8YtsbDWAEcQ
6B;Mot dans le carnet;2024-05-24;bavardages incessants;;ww8mP6wci6pu9RRqK6lcvQQHXgUF0D3t8YtsbDWAEcQ
6B;Mot dans le carnet;2024-06-11;a insulté son camarade de classe;;ww8mP6wci6pu9RRqK6lcvQQHXgUF0D3t8YtsbDWAEcQ
1B/C;Exclusion de cours;2024-02-15;nan;08:00:00;WS4WDhmqO5Qcb0LibUmX64_gzrBx85uRjceQHJarop4
4A;Mot dans le carnet;2023-09-18;Bavardages incessants ;;9aboz2vSFuXu8Y-fCFsCb5kO1x4Vtgj6PAGNqKiVG8A
4A;Mot dans le carnet;2024-02-06;nan;;9aboz2vSFuXu8Y-fCFsCb5kO1x4Vtgj6PAGNqKiVG8A
